event_id,source_row_id,date,start,end,calendar_name,summary,part_summary,event_type,book_ref,calendar_analysis_duration_hours,wall_clock_duration_hours,include_in_first_pass_time,inclusion_rule,overlap_policy_duration_hours,overlap_policy_rule,overlap_other_events,overlap_other_calendars,overlap_restored_hours,title,finish_id,matched_finish_date,match_method
calendar_analysis_row_021656_part_0,calendar_analysis_row_021656,2024-08-19,2024-08-19 19:00:00+00:00,2024-08-19 19:30:00+00:00,Things,book:toboe,book:toboe,reading,toboe,0.375,0.5,True,explicit_reading_or_audiobook_duration,0.5,full_duration_minor_overlap,Failed nap,"Meals, Supplements, Sleep",0.125,the Oxford book of essays,finish_0131,2025-03-22,ref_to_finished_title
calendar_analysis_row_024010_part_0,calendar_analysis_row_024010,2024-11-19,2024-11-19 07:30:00+00:00,2024-11-19 09:00:00+00:00,clark.benham@gmail.com,book:dmls,book:dmls,reading,dmls,1.5,1.5,True,explicit_reading_or_audiobook_duration,1.5,calendar_analysis_duration,,,0.0,Designing Machine Learning Systems,finish_0109,2024-11-21,ref_to_finished_title
calendar_analysis_row_024081_part_0,calendar_analysis_row_024081,2024-11-21,2024-11-21 13:00:00+00:00,2024-11-21 15:15:00+00:00,clark.benham@gmail.com,finished book: designing machine learning systems,finished book: designing machine learning systems,finished,designing machine learning systems,2.25,2.25,True,explicit_finished_book_duration,2.25,calendar_analysis_duration,,,0.0,Designing Machine Learning Systems,finish_0109,2024-11-21,finished_event_identity
calendar_analysis_row_026434_part_0,calendar_analysis_row_026434,2025-02-11,2025-02-11 20:45:00+00:00,2025-02-11 21:30:00+00:00,Things,Book:toboe,Book:toboe,reading,toboe,0.75,0.75,True,explicit_reading_or_audiobook_duration,0.75,calendar_analysis_duration,,,0.0,the Oxford book of essays,finish_0131,2025-03-22,ref_to_finished_title
calendar_analysis_row_027165_part_0,calendar_analysis_row_027165,2025-03-06,2025-03-06 11:30:00+00:00,2025-03-06 12:00:00+00:00,Things,book:toboe,book:toboe,reading,toboe,0.5,0.5,True,explicit_reading_or_audiobook_duration,0.5,calendar_analysis_duration,,,0.0,the Oxford book of essays,finish_0131,2025-03-22,ref_to_finished_title
calendar_analysis_row_027240_part_0,calendar_analysis_row_027240,2025-03-08,2025-03-08 21:15:00+00:00,2025-03-08 21:30:00+00:00,Things,book:toboe,book:toboe,reading,toboe,0.25,0.25,True,explicit_reading_or_audiobook_duration,0.25,calendar_analysis_duration,,,0.0,the Oxford book of essays,finish_0131,2025-03-22,ref_to_finished_title
calendar_analysis_row_027415_part_0,calendar_analysis_row_027415,2025-03-14,2025-03-14 10:00:00+00:00,2025-03-14 10:15:00+00:00,Things,Book:toboe,Book:toboe,reading,toboe,0.25,0.25,True,explicit_reading_or_audiobook_duration,0.25,calendar_analysis_duration,,,0.0,the Oxford book of essays,finish_0131,2025-03-22,ref_to_finished_title
calendar_analysis_row_027491_part_0,calendar_analysis_row_027491,2025-03-17,2025-03-17 21:45:00+00:00,2025-03-17 22:15:00+00:00,Things,Book:toboe,Book:toboe,reading,toboe,0.5,0.5,True,explicit_reading_or_audiobook_duration,0.5,calendar_analysis_duration,,,0.0,the Oxford book of essays,finish_0131,2025-03-22,ref_to_finished_title
calendar_analysis_row_027493_part_0,calendar_analysis_row_027493,2025-03-17,2025-03-17 23:30:00+00:00,2025-03-18 00:00:00+00:00,Things,Book:toboe,Book:toboe,reading,toboe,0.5,0.5,True,explicit_reading_or_audiobook_duration,0.5,calendar_analysis_duration,,,0.0,the Oxford book of essays,finish_0131,2025-03-22,ref_to_finished_title
calendar_analysis_row_027657_part_0,calendar_analysis_row_027657,2025-03-22,2025-03-22 18:00:00+00:00,2025-03-22 18:15:00+00:00,Things,Book:toboe,Book:toboe,reading,toboe,0.125,0.25,True,explicit_reading_or_audiobook_duration,0.25,full_duration_minor_overlap,Lie in sun,Things,0.125,the Oxford book of essays,finish_0131,2025-03-22,ref_to_finished_title
calendar_analysis_row_027660_part_0,calendar_analysis_row_027660,2025-03-22,2025-03-22 19:15:00+00:00,2025-03-22 20:45:00+00:00,Things,Finished book: the Oxford book of essays,Finished book: the Oxford book of essays,finished,the Oxford book of essays,0.75,1.5,True,explicit_finished_book_duration,0.75,calendar_analysis_duration_incompatible_overlap,Lie in sun,Things,0.0,the Oxford book of essays,finish_0131,2025-03-22,finished_event_identity
calendar_analysis_row_029723_part_0,calendar_analysis_row_029723,2025-06-05,2025-06-05 22:45:00+00:00,2025-06-05 23:00:00+00:00,Things,book:tpb,book:tpb,reading,tpb,0.25,0.25,True,explicit_reading_or_audiobook_duration,0.25,calendar_analysis_duration,,,0.0,the power broker,finish_0174,2025-12-04,ref_to_finished_title
calendar_analysis_row_030469_part_0,calendar_analysis_row_030469,2025-07-06,2025-07-06 11:15:00+00:00,2025-07-06 11:30:00+00:00,Things,book:nicbt,book:nicbt,reading,nicbt,0.25,0.25,True,explicit_reading_or_audiobook_duration,0.25,calendar_analysis_duration,,,0.0,Now It Can Be Told,finish_0184,2026-01-19,ref_to_finished_title
calendar_analysis_row_030632_part_0,calendar_analysis_row_030632,2025-07-12,2025-07-12 16:00:00+00:00,2025-07-12 17:00:00+00:00,Things,Audio book:  tpb,Audio book:  tpb,audiobook,tpb,0.5,1.0,True,explicit_reading_or_audiobook_duration,1.0,full_duration_compatible_overlap,Walk,Things,0.5,the power broker,finish_0174,2025-12-04,ref_to_finished_title
calendar_analysis_row_030974_part_0,calendar_analysis_row_030974,2025-07-23,2025-07-23 21:45:00+00:00,2025-07-23 22:00:00+00:00,Things,book:aoa,book:aoa,reading,aoa,0.25,0.25,True,explicit_reading_or_audiobook_duration,0.25,calendar_analysis_duration,,,0.0,age of ambition,finish_0155,2025-08-02,ref_to_finished_title
calendar_analysis_row_031003_part_0,calendar_analysis_row_031003,2025-07-24,2025-07-24 22:15:00+00:00,2025-07-24 22:30:00+00:00,Things,Book:aoa,Book:aoa,reading,aoa,0.25,0.25,True,explicit_reading_or_audiobook_duration,0.25,calendar_analysis_duration,,,0.0,age of ambition,finish_0155,2025-08-02,ref_to_finished_title
calendar_analysis_row_031005_part_0,calendar_analysis_row_031005,2025-07-25,2025-07-25 00:30:00+00:00,2025-07-25 01:00:00+00:00,Things,book:aoa,book:aoa,reading,aoa,0.5,0.5,True,explicit_reading_or_audiobook_duration,0.5,calendar_analysis_duration,,,0.0,age of ambition,finish_0155,2025-08-02,ref_to_finished_title
calendar_analysis_row_031105_part_0,calendar_analysis_row_031105,2025-07-28,2025-07-28 22:15:00+00:00,2025-07-28 22:30:00+00:00,Things,book:aoa,book:aoa,reading,aoa,0.25,0.25,True,explicit_reading_or_audiobook_duration,0.25,calendar_analysis_duration,,,0.0,age of ambition,finish_0155,2025-08-02,ref_to_finished_title
calendar_analysis_row_031132_part_0,calendar_analysis_row_031132,2025-07-29,2025-07-29 19:15:00+00:00,2025-07-29 20:00:00+00:00,Things,book:aoa,book:aoa,reading,aoa,0.625,0.75,True,explicit_reading_or_audiobook_duration,0.75,full_duration_minor_overlap,lunch,"Meals, Supplements, Sleep",0.125,age of ambition,finish_0155,2025-08-02,ref_to_finished_title
calendar_analysis_row_031151_part_0,calendar_analysis_row_031151,2025-07-30,2025-07-30 05:30:00+00:00,2025-07-30 06:00:00+00:00,Things,book:aoa,book:aoa,reading,aoa,0.5,0.5,True,explicit_reading_or_audiobook_duration,0.5,calendar_analysis_duration,,,0.0,age of ambition,finish_0155,2025-08-02,ref_to_finished_title
calendar_analysis_row_031227_part_0,calendar_analysis_row_031227,2025-08-02,2025-08-02 00:30:00+00:00,2025-08-02 01:30:00+00:00,Things,finished book: age of ambition,finished book: age of ambition,finished,age of ambition,0.5,1.0,True,explicit_finished_book_duration,0.5,calendar_analysis_duration_incompatible_overlap,China trip,Things,0.0,age of ambition,finish_0155,2025-08-02,finished_event_identity
calendar_analysis_row_032373_part_0,calendar_analysis_row_032373,2025-09-27,2025-09-27 04:30:00+00:00,2025-09-27 05:15:00+00:00,Things,Audiobook: tpb,Audiobook: tpb,audiobook,tpb,0.75,0.75,True,explicit_reading_or_audiobook_duration,0.75,calendar_analysis_duration,,,0.0,the power broker,finish_0174,2025-12-04,ref_to_finished_title
calendar_analysis_row_032452_part_0,calendar_analysis_row_032452,2025-09-29,2025-09-29 23:45:00+00:00,2025-09-30 01:00:00+00:00,Things,Audio book: tpb,Audio book: tpb,audiobook,tpb,0.875,1.25,True,explicit_reading_or_audiobook_duration,1.25,full_duration_compatible_overlap,Walk,Things,0.375,the power broker,finish_0174,2025-12-04,ref_to_finished_title
calendar_analysis_row_032631_part_0,calendar_analysis_row_032631,2025-10-06,2025-10-06 23:30:00+00:00,2025-10-07 00:30:00+00:00,Things,book:dt,book:dt,reading,dt,1.0,1.0,True,explicit_reading_or_audiobook_duration,1.0,calendar_analysis_duration,,,0.0,DFW_TV.pdf,finish_0165,2025-10-09,ref_to_finished_title
calendar_analysis_row_032633_part_0,calendar_analysis_row_032633,2025-10-07,2025-10-07 00:30:00+00:00,2025-10-07 01:45:00+00:00,Things,Audiobook: tpb,Audiobook: tpb,audiobook,tpb,0.625,1.25,True,explicit_reading_or_audiobook_duration,1.25,full_duration_compatible_overlap,Walk,Things,0.625,the power broker,finish_0174,2025-12-04,ref_to_finished_title
calendar_analysis_row_032699_part_0,calendar_analysis_row_032699,2025-10-09,2025-10-09 08:00:00+00:00,2025-10-09 08:15:00+00:00,Things,book:dt,book:dt,reading,dt,0.125,0.25,True,explicit_reading_or_audiobook_duration,0.25,full_duration_minor_overlap,anki,clark.benham@gmail.com,0.125,DFW_TV.pdf,finish_0165,2025-10-09,ref_to_finished_title
calendar_analysis_row_032704_part_0,calendar_analysis_row_032704,2025-10-09,2025-10-09 12:45:00+00:00,2025-10-09 13:00:00+00:00,Things,book:dt,book:dt,reading,dt,0.25,0.25,True,explicit_reading_or_audiobook_duration,0.25,calendar_analysis_duration,,,0.0,DFW_TV.pdf,finish_0165,2025-10-09,ref_to_finished_title
calendar_analysis_row_032716_part_0,calendar_analysis_row_032716,2025-10-09,2025-10-09 21:30:00+00:00,2025-10-09 21:45:00+00:00,Things,finished book: dfw tv,finished book: dfw tv,finished,dfw tv,0.25,0.25,True,explicit_finished_book_duration,0.25,calendar_analysis_duration,,,0.0,DFW_TV.pdf,finish_0165,2025-10-09,finished_event_identity
calendar_analysis_row_033114_part_0,calendar_analysis_row_033114,2025-10-26,2025-10-26 17:45:00+00:00,2025-10-26 18:45:00+00:00,Things,Audiobook: tpb,Audiobook: tpb,audiobook,tpb,0.5,1.0,True,explicit_reading_or_audiobook_duration,1.0,full_duration_compatible_overlap,Walk,Things,0.5,the power broker,finish_0174,2025-12-04,ref_to_finished_title
calendar_analysis_row_033244_part_0,calendar_analysis_row_033244,2025-10-31,2025-10-31 04:30:00+00:00,2025-10-31 05:30:00+00:00,Things,audiobook: tpb,audiobook: tpb,audiobook,tpb,0.5,1.0,True,explicit_reading_or_audiobook_duration,1.0,full_duration_compatible_overlap,Amelia chores,Things,0.5,the power broker,finish_0174,2025-12-04,ref_to_finished_title
calendar_analysis_row_033246_part_0,calendar_analysis_row_033246,2025-10-31,2025-10-31 06:00:00+00:00,2025-10-31 07:15:00+00:00,Things,audiobook: tpb,audiobook: tpb,audiobook,tpb,0.625,1.25,True,explicit_reading_or_audiobook_duration,1.25,full_duration_compatible_overlap,Amelia: Chores,Things,0.625,the power broker,finish_0174,2025-12-04,ref_to_finished_title
calendar_analysis_row_033261_part_0,calendar_analysis_row_033261,2025-10-31,2025-10-31 21:00:00+00:00,2025-10-31 23:00:00+00:00,Things,book:tpb,book:tpb,reading,tpb,1.875,2.0,True,explicit_reading_or_audiobook_duration,2.0,full_duration_minor_overlap,1 beer,Waste Time,0.125,the power broker,finish_0174,2025-12-04,ref_to_finished_title
calendar_analysis_row_033311_part_0,calendar_analysis_row_033311,2025-11-02,2025-11-02 22:30:00+00:00,2025-11-02 23:45:00+00:00,Things,audiobook: tpb,audiobook: tpb,audiobook,tpb,0.625,1.25,True,explicit_reading_or_audiobook_duration,0.625,calendar_analysis_duration_incompatible_overlap,Amelia,Things,0.0,the power broker,finish_0174,2025-12-04,ref_to_finished_title
